,unit_ID,schools,terms,urls,count,context
0,102553,Oklahoma State University Institute of Technology,suspend capital projects,S,0,NoContext
1,102553,Oklahoma State University Institute of Technology,early retirement,https://tulsaworld.com/opinion/columnists/wayne-greene-in-response-to-a-short-term-money-problem-oklahoma-is-spending-its-future/article_0339cf07-026c-53c4-a63d-fccf5a78684d.html,1,"son wrote. “institutions are eliminating positions, furloughing faculty and staff, and implementing early retirement options. learning sites are closing. degree programs are being deleted.”   i asked "
2,102553,Oklahoma State University Institute of Technology,early retirement,https://tulsaworld.com/opinion/columnists/wayne-greene-in-response-to-a-short-term-money-problem-oklahoma-is-spending-its-future/article_0339cf07-026c-53c4-a63d-fccf5a78684d.html,1,"ors state college in warner and muskogee, southeastern and tulsa community college are implementing early retirement options.  cameron university in lawton, connors, and northeastern oklahoma a&m coll"
3,102553,Oklahoma State University Institute of Technology,early retirement,https://www.meridiantech.edu/energy-and-power-program-opening-doors-to-careers-for-students/,1,"d for 22 years at a telecommunications company before he took advantage of a company-wide voluntary early retirement offer from new ownership. during this time off, he heard about the program that sta"
4,102553,Oklahoma State University Institute of Technology,early retirement,http://www.garykelleyafs.com/obituary/james-frazier,0,NoContext
5,102553,Oklahoma State University Institute of Technology,early retirement,https://sapulpatimes.com/recently-retired-deputy-superintendent-offers-some-answers/,1," even has a plan for developing a bass lure concept.  “the timing was just right,” smith said.  the early retirement does mean some extra dollars for an impacted local school budget that could prevent"
6,102614,University of South Carolina-Upstate,new scholarships,https://www.unigo.com/category/scholarships/by-college/university-of-south-carolina-union-scholarships,0,NoContext
7,102553,Oklahoma State University Institute of Technology,new scholarships,https://osuit.edu/financial-aid/scholarships.php,0,NoContext
8,102553,Oklahoma State University Institute of Technology,new scholarships,https://osuit.edu/financial-aid/index.php,0,NoContext
9,102553,Oklahoma State University Institute of Technology,new scholarships,https://www.unigo.com/category/scholarships/by-college/east-central-university-scholarships,0,NoContext
10,102553,Oklahoma State University Institute of Technology,new scholarships,https://www.pltw.org/experience-pltw/student-opportunities,0,NoContext
11,102553,Oklahoma State University Institute of Technology,deferred maintenance,https://osuit.edu/,0,NoContext
12,102553,Oklahoma State University Institute of Technology,deferred maintenance,https://www.usnews.com/best-colleges/osu-okmulgee-3172,0,NoContext
13,102553,Oklahoma State University Institute of Technology,deferred maintenance,https://osuit.edu/degrees.php,0,NoContext
14,102553,Oklahoma State University Institute of Technology,deferred maintenance,http://www.aplu.org/library/a-national-study-of-capital-infrastructure--deferred-maintenance-at-schools-of-agriculture/file,0,NoContext
15,102553,Oklahoma State University Institute of Technology,deferred maintenance,https://www.hollandhart.com/the-great-american-outdoors-act-becomes-law,0,NoContext
16,102553,Oklahoma State University Institute of Technology,increase athletics spending,https://www.chicagotribune.com/sports/college/ct-athletic-facilities-expenses-20151222-story.html,0,NoContext
17,102553,Oklahoma State University Institute of Technology,increase athletics spending,https://www.insidehighered.com/news/2020/05/18/coronavirus-live-updates-archive-may-18-may-24,0,NoContext
18,102553,Oklahoma State University Institute of Technology,increase athletics spending,http://chronicle.com/article/have-money-will-travel-the/28750,0,NoContext
19,102614,University of South Carolina-Upstate,suspend capital projects,https://greenvillejournal.com/news/landing-southwest-is-paying-off/,0,NoContext
20,102553,Oklahoma State University Institute of Technology,administrative budget cuts,https://www.insidehighered.com/news/2020/04/10/colleges-announce-furloughs-and-layoffs-financial-challenges-mount,0,NoContext
21,102553,Oklahoma State University Institute of Technology,administrative budget cuts,https://www.sciencemag.org/news/2020/02/trump-s-new-budget-cuts-all-favored-few-science-programs,0,NoContext
22,102553,Oklahoma State University Institute of Technology,administrative budget cuts,https://www.americanprogress.org/issues/education-postsecondary/reports/2020/06/11/485963/mounting-peril-public-higher-education-coronavirus-pandemic/,0,NoContext
23,102553,Oklahoma State University Institute of Technology,administrative budget cuts,https://www.npr.org/sections/health-shots/2017/03/16/520390147/trump-administration-proposes-big-cuts-in-medical-research,0,NoContext
24,102553,Oklahoma State University Institute of Technology,administrative budget cuts,https://www.americanprogress.org/issues/education-k-12/reports/2018/09/20/457750/fixing-chronic-disinvestment-k-12-schools/,0,NoContext
25,102553,Oklahoma State University Institute of Technology,administrative budget cuts,https://www.nytimes.com/2019/12/28/climate/trump-administration-war-on-science.html,0,NoContext
26,102614,University of South Carolina-Upstate,deferred maintenance,https://www.sc.edu/uofsc/posts/2020/04/board_meeting_april_24.php,1,"staff gateway  parents & families gateway  alumni gateway          uofsc board of trustees approves deferred maintenance projects, new vp for communications   posted on: april 26, 2020; updated on: ap"
27,102614,University of South Carolina-Upstate,deferred maintenance,https://www.sc.edu/uofsc/posts/2020/04/board_meeting_april_24.php,1,"education;  a gift agreement establishing the lee and brad poole aquatic center at usc upstate.     deferred maintenance projects continue, some new projects delayed  in a cost-savings measure to miti"
28,102614,University of South Carolina-Upstate,deferred maintenance,https://www.sc.edu/uofsc/posts/2020/04/board_meeting_april_24.php,1,"elay several construction projects, including campus village. some critical
                        deferred maintenance projects were approved, including:   new roof and chiller for the school of med"
29,102614,University of South Carolina-Upstate,deferred maintenance,https://www.newsbreak.com/south-carolina/columbia/news/1554674650559/uofsc-board-of-trustees-approves-deferred-maintenance-projects-new-vp-for-communications,1,"arolina state columbia uofsc board of trustees approves deferre... uofsc board of trustees approves deferred maintenance projects, new vp for communications sc.edu | 04-26 the university of south caro"
30,102553,Oklahoma State University Institute of Technology,voluntary furlough,https://www.stwnewspress.com/sports/osu-athletics-announces-pay-cuts-furloughs-to-slash-13-million-from-budget/article_c10fb2f2-f2d2-11ea-bc7d-f7ac38c48b79.html,0,NoContext
31,102553,Oklahoma State University Institute of Technology,voluntary furlough,https://www.forbes.com/sites/michaeltnietzel/2020/05/04/more-than-a-dozen-additional-universities-begin-furloughs-affecting-thousands-of-staff/,0,NoContext
32,102553,Oklahoma State University Institute of Technology,voluntary furlough,https://www.koco.com/article/osu-athletics-department-announces-cuts-layoffs-brought-on-by-pandemic/33971383,0,NoContext
